Multisizer 3,2017-5-12 10:50,,,
File name:,DD2016Ter_10_01.#m3,,,
Group ID:,DD2016Ter,,,
Sample ID:,10,,,
Control mode:,"Volumetric,  250  uL",,,
Acquired:,2017-5-12 10:49,,,
Size bins:,300,,,
From,1,,,
To,30,,,
Sizing threshold:,0.9995,,,
Total pulses:,7044,,,
Counting threshold:,0.9995,,,
Counts above threshold:,7044,,,
Coincidence corrected:,7092,,,
,,,,
Bin Number,,DD2016Ter_10,,
,Bin Diameter,_01.#m3,Diff.,Diff.
,(Lower),Diff.,Volume,Surface Area
,um,Number,um^3,um^2
1,1,153,81.4846,486.144
2,1.0114,149,82.0997,484.292
3,1.02293,136,77.5293,452.176
4,1.0346,123,72.5443,418.332
5,1.04639,121,73.8337,420.968
6,1.05832,128,80.8072,455.534
7,1.07039,121,79.0309,440.498
8,1.0826,126,85.1439,469.22
9,1.09494,128,89.4878,487.6
10,1.10742,127,91.8605,494.885
11,1.12005,109,81.5686,434.485
12,1.13282,122,94.4555,497.457
13,1.14574,114,91.3153,475.497
14,1.1588,117,96.9607,499.202
15,1.17201,95,81.4526,414.631
16,1.18538,110,97.5765,491.11
17,1.19889,100,91.7748,456.702
18,1.21256,93,88.3035,434.474
19,1.22639,92,90.3762,439.659
20,1.24037,83,84.3559,405.746
21,1.25451,109,114.613,545.067
22,1.26882,83,90.2938,424.569
23,1.28328,78,87.7901,408.143
24,1.29791,108,125.761,578.082
25,1.31271,90,108.427,492.783
26,1.32768,89,110.931,498.483
27,1.34282,87,112.19,498.456
28,1.35813,84,112.069,492.306
29,1.37361,80,110.425,479.615
30,1.38928,93,132.81,570.339
31,1.40512,81,119.676,508.139
32,1.42114,88,134.516,564.713
33,1.43734,72,113.866,472.634
34,1.45373,83,135.804,557.338
35,1.4703,57,96.4896,391.528
36,1.48707,77,134.855,541.036
37,1.50402,73,132.273,524.693
38,1.52117,68,127.476,499.964
39,1.53852,81,157.1,609.204
40,1.55606,54,108.357,415.45
41,1.5738,80,166.082,629.597
42,1.59174,60,128.871,483.027
43,1.60989,62,137.774,510.575
44,1.62825,59,135.643,497.012
45,1.64681,75,178.393,646.285
46,1.66559,54,132.887,475.996
47,1.68458,73,185.859,658.234
48,1.70379,54,142.241,498.08
49,1.72321,42,114.459,396.28
50,1.74286,60,169.171,579.097
51,1.76273,68,198.36,671.361
52,1.78283,66,199.187,666.559
53,1.80316,54,168.609,557.874
54,1.82372,65,209.977,686.915
55,1.84451,61,203.873,659.428
56,1.86554,57,197.095,630.318
57,1.88681,37,132.365,418.537
58,1.90833,52,192.463,601.704
59,1.93009,37,141.683,437.954
60,1.95209,44,174.316,532.755
61,1.97435,44,180.347,544.973
62,1.99686,51,216.271,646.16
63,2.01963,42,184.267,544.335
64,2.04266,51,231.495,676.137
65,2.06595,42,197.238,569.589
66,2.0895,44,213.779,610.397
67,2.11333,42,211.122,596.014
68,2.13742,30,156.019,435.488
69,2.16179,39,209.841,579.117
70,2.18644,31,172.568,470.881
71,2.21137,44,253.409,683.675
72,2.23658,31,184.715,492.727
